department_name,course_name,semester_year,term_name,course_code,student_id_count,high_school_gpa_mean
Archaeology,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,2017,Fall,ARHY-0800,21,3.290952381
Chemistry,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,2015,Fall,ARHY-0800,1,3.01
History,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,2016,Fall,ARHY-0800,1,3.52
Physics,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,2017,Fall,ARHY-0800,1,3.07
Classics,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,2015,Fall,ARHY-0800,1,3.32
Film,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,2017,Fall,ARHY-0800,1,2.96
Architecture,Roman Architecture,2017,Fall,ARCH-1400,26,3.141923077
Architecture,Roman Architecture,2018,Fall,ARCH-1400,23,3.27826087
Literature,Roman Architecture,2014,Fall,ARCH-1400,1,3.37
Chemistry,Roman Architecture,2017,Fall,ARCH-1400,1,3.24
Archaeology,Modern Art & Ideas,2016,Fall,ARTC-1700,1,2.8
Philosophy,The Planets,2015,Fall,ASTR-2000,1,3.03
Architecture,The Planets,2015,Fall,ASTR-2000,2,3.18
Urban Studie,The Planets,2015,Fall,ASTR-2000,2,3.165
Urban Studie,Anatomy & Physiology,2019,Fall,BIOL-0300,1,3.48
Classics,Diet and Nutrition,2014,Fall,BIOL-2600,3,3.26
Architecture,Diet and Nutrition,2018,Fall,BIOL-2600,1,3.02
Math,Diet and Nutrition,2017,Fall,BIOL-2600,1,3.23
Psychology and Neuroscience,Diet and Nutrition,2016,Fall,BIOL-2600,1,3.81
Music and Performing Arts,Introduction to Solid State Chemistry,2016,Fall,CHEM-2100,1,3.14
Design,Introduction to Solid State Chemistry,2018,Fall,CHEM-2100,2,3.005
Music and Performing Arts,Life Universe & Everything: Chemistry of Our Daily Lives,2014,Fall,CHEM-2500,1,3.56
Psychology and Neuroscience,Life Universe & Everything: Chemistry of Our Daily Lives,2019,Fall,CHEM-2500,1,3.35
Art,Life Universe & Everything: Chemistry of Our Daily Lives,2014,Fall,CHEM-2500,1,3.38
World Languages,Life Universe & Everything: Chemistry of Our Daily Lives,2015,Fall,CHEM-2500,1,2.52
Design,Life Universe & Everything: Chemistry of Our Daily Lives,2017,Fall,CHEM-2500,1,3.22
Anthropology,Australia,2015,Fall,CLAS-1700,3,3.34
Classics,Australia,2015,Fall,CLAS-1700,21,3.191904762
History,Australia,2015,Fall,CLAS-1700,1,3.53
Computer Science,Australia,2019,Fall,CLAS-1700,1,3.7
Anthropology,Design and Make Infographics,2018,Fall,COMM-0600,3,3.043333333
Geography,Design and Make Infographics,2019,Fall,COMM-0600,2,3.4
Business,Introduction to Ozark Studies,2017,Fall,GEOG-0700,3,3.046666667
Anthropology,Introduction to Ozark Studies,2017,Fall,GEOG-0700,1,3.18
Urban Studie,Dementia and the Arts: Sharing Practice Developing Understanding and Enhancing Lives,2016,Fall,HEAL-0300,1,3.19
Political Science,Dementia and the Arts: Sharing Practice Developing Understanding and Enhancing Lives,2018,Fall,HEAL-0300,1,3.51
Astronomy,Epidemics,2014,Fall,HEAL-0500,3,2.973333333
Film,Epidemics,2020,Fall,HEAL-0500,1,3.14
Anthropology,Maintaining a Mindful Life,2015,Fall,HEAL-1500,2,3.395
Personal Development,Maintaining a Mindful Life,2018,Fall,HEAL-1500,1,3.01
Music and Performing Arts,Maintaining a Mindful Life,2016,Fall,HEAL-1500,1,3.79
Sociology,Mindfulness for Wellbeing and Peak Performance,2017,Fall,HEAL-1700,1,3.23
Media Studies,Mindfulness for Wellbeing and Peak Performance,2014,Fall,HEAL-1700,1,3.23
Astronomy,Mindfulness for Wellbeing and Peak Performance,2018,Fall,HEAL-1700,1,3.34
Film,Mindfulness for Wellbeing and Peak Performance,2017,Fall,HEAL-1700,1,3.56
Classics,The Addicted Brain,2017,Fall,HEAL-2200,1,4.02
History,Big History,2015,Fall,HIST-1700,5,3.332
Data Science,European Cultural History 1880-1920,2018,Fall,HIST-3400,1,3.25
Media Studies,21 Hours of Lectures by Howard Zinn,2014,Fall,HIST-5700,1,3.04
Writing,21 Hours of Lectures by Howard Zinn,2017,Fall,HIST-5700,1,3.54
Philosophy,21 Hours of Lectures by Howard Zinn,2017,Fall,HIST-5700,1,2.8
Health,Medieval British History,2014,Fall,HIST-6000,1,3.11
Astronomy,Medieval British History,2016,Fall,HIST-6000,1,3.04
Physics,Medieval British History,2015,Fall,HIST-6000,1,2.56
Film,Modern Poetry,2018,Fall,LITE-4600,2,3.08
Literature,Restoration and 18th Century Poetry: From Dryden to Wordsworth,2017,Fall,LITE-5100,6,3.401666667
Astronomy,Restoration and 18th Century Poetry: From Dryden to Wordsworth,2016,Fall,LITE-5100,1,3.38
Business,Restoration and 18th Century Poetry: From Dryden to Wordsworth,2016,Fall,LITE-5100,1,3.4
Media Studies,Shakespeare,2014,Fall,LITE-5500,1,2.96
Data Science,The Heroic Quest,2017,Fall,LITE-6400,1,2.75
Film,The Heroic Quest,2016,Fall,LITE-6400,1,3.19
Math,A First Course in Linear Algebra,2019,Fall,MATH-0100,4,3.18
Math,A First Course in Linear Algebra,2020,Fall,MATH-0100,7,3.162857143
Archaeology,A First Course in Linear Algebra,2017,Fall,MATH-0100,2,3.285
Personal Development,A First Course in Linear Algebra,2018,Fall,MATH-0100,1,2.73
Psychology and Neuroscience,A First Course in Linear Algebra,2019,Fall,MATH-0100,1,3.69
World Languages,Analytic Geometry and Calculus,2016,Fall,MATH-0500,1,3.69
Aeronautics,Analytic Geometry and Calculus,2019,Fall,MATH-0500,1,3.18
Archaeology,Analytic Geometry and Calculus,2018,Fall,MATH-0500,1,3.54
Urban Studie,Analytic Geometry and Calculus,2015,Fall,MATH-0500,1,3.12
Anthropology,Differential Equations,2015,Fall,MATH-2600,1,2.5
Geography,Statistical Reasoning,2016,Fall,MATH-6600,2,3.57
Religion,Statistical Reasoning,2016,Fall,MATH-6600,1,2.86
Physics,Environmental Philosophy,2018,Fall,PHIL-3300,1,3.79
Music and Performing Arts,Environmental Philosophy,2017,Fall,PHIL-3300,1,3.51
History,Hegel's Phenomenology of Spirit,2015,Fall,PHIL-5200,1,2.95
Math,Hegel's Phenomenology of Spirit,2014,Fall,PHIL-5200,1,3.02
Anthropology,Hegel's Science of Logic,2016,Fall,PHIL-5500,1,3.3
Philosophy,History of Christian Philosophy,2017,Fall,PHIL-6300,1,2.6
Anthropology,History of Christian Philosophy,2016,Fall,PHIL-6300,2,3.16
Media Studies,History of Christian Philosophy,2016,Fall,PHIL-6300,1,4.16
World Languages,History of Christian Philosophy,2016,Fall,PHIL-6300,1,3.45
Urban Studie,History of Modern Philosophy,2017,Fall,PHIL-6400,2,3.085
Philosophy,History of Modern Philosophy,2014,Fall,PHIL-6400,2,3.47
Architecture,History of Modern Philosophy,2015,Fall,PHIL-6400,1,3.02
Design,Hobbes: Leviathan and De Cive (1964),2016,Fall,PHIL-6700,1,4.28
Religion,Hobbes: Leviathan and De Cive (1964),2017,Fall,PHIL-6700,1,3.38
Personal Development,Hobbes: Leviathan and De Cive (1964),2014,Fall,PHIL-6700,1,3.48
History,Hobbes: Leviathan and De Cive (1964),2015,Fall,PHIL-6700,1,3.47
Film,Hobbes: Leviathan and De Cive (1964),2014,Fall,PHIL-6700,1,2.92
Media Studies,Justice: What's the Right Thing to Do?,2016,Fall,PHIL-8500,1,3.23
Math,Justice: What's the Right Thing to Do?,2014,Fall,PHIL-8500,1,2.9
